Correlation_BASE,EUR_Swap_0.25Y,EUR_Swap_0.5Y,EUR_Swap_1.0Y,EUR_Swap_2.0Y,EUR_Swap_3.0Y,EUR_Swap_5.0Y,EUR_Swap_10.0Y,EUR_Swap_15.0Y,EUR_Swap_20.0Y,EUR_Swap_30.0Y
EUR_Swap_0.25Y,1.0,0.9704455335485082,0.9139311852712282,0.8105842459701871,0.7189237334319262,0.5655254386995371,0.4,0.4,0.4,0.4
EUR_Swap_0.5Y,0.9704455335485082,1.0,0.9704455335485082,0.9139311852712282,0.8607079764250578,0.7633794943368531,0.5655254386995371,0.418951549247639,0.4,0.4
EUR_Swap_1.0Y,0.9139311852712282,0.9704455335485082,1.0,0.9704455335485082,0.9417645335842487,0.8869204367171575,0.7633794943368531,0.6570468198150567,0.5655254386995371,0.418951549247639
EUR_Swap_2.0Y,0.8105842459701871,0.9139311852712282,0.9704455335485082,1.0,0.9851119396030626,0.9559974818331,0.8869204367171575,0.8228346580560184,0.7633794943368531,0.6570468198150567
EUR_Swap_3.0Y,0.7189237334319262,0.8607079764250578,0.9417645335842487,0.9851119396030626,1.0,0.9801986733067553,0.9323938199059483,0.8869204367171575,0.8436648165963837,0.7633794943368533
EUR_Swap_5.0Y,0.5655254386995371,0.7633794943368531,0.8869204367171575,0.9559974818331,0.9801986733067553,1.0,0.9704455335485082,0.9417645335842487,0.9139311852712282,0.8607079764250578
EUR_Swap_10.0Y,0.4,0.5655254386995371,0.7633794943368531,0.8869204367171575,0.9323938199059483,0.9704455335485082,1.0,0.9851119396030626,0.9704455335485082,0.9417645335842487
EUR_Swap_15.0Y,0.4,0.418951549247639,0.6570468198150567,0.8228346580560184,0.8869204367171575,0.9417645335842487,0.9851119396030626,1.0,0.9900498337491681,0.9704455335485082
EUR_Swap_20.0Y,0.4,0.4,0.5655254386995371,0.7633794943368531,0.8436648165963837,0.9139311852712282,0.9704455335485082,0.9900498337491681,1.0,0.9851119396030626
EUR_Swap_30.0Y,0.4,0.4,0.418951549247639,0.6570468198150567,0.7633794943368533,0.8607079764250578,0.9417645335842487,0.9704455335485082,0.9851119396030626,1.0
