Correlation_HIGH,EUR_Swap_0.25Y,EUR_Swap_0.5Y,EUR_Swap_1.0Y,EUR_Swap_2.0Y,EUR_Swap_3.0Y,EUR_Swap_5.0Y,EUR_Swap_10.0Y,EUR_Swap_15.0Y,EUR_Swap_20.0Y,EUR_Swap_30.0Y
EUR_Swap_0.25Y,1.0,1.0,1.0,1.0,0.8986546667899077,0.7069067983744214,0.5,0.5,0.5,0.5
EUR_Swap_0.5Y,1.0,1.0,1.0,1.0,1.0,0.9542243679210665,0.7069067983744214,0.5236894365595488,0.5,0.5
EUR_Swap_1.0Y,1.0,1.0,1.0,1.0,1.0,1.0,0.9542243679210665,0.821308524768821,0.7069067983744214,0.5236894365595488
EUR_Swap_2.0Y,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9542243679210665,0.821308524768821
EUR_Swap_3.0Y,0.8986546667899077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9542243679210666
EUR_Swap_5.0Y,0.7069067983744214,0.9542243679210665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EUR_Swap_10.0Y,0.5,0.7069067983744214,0.9542243679210665,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EUR_Swap_15.0Y,0.5,0.5236894365595488,0.821308524768821,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EUR_Swap_20.0Y,0.5,0.5,0.7069067983744214,0.9542243679210665,1.0,1.0,1.0,1.0,1.0,1.0
EUR_Swap_30.0Y,0.5,0.5,0.5236894365595488,0.821308524768821,0.9542243679210666,1.0,1.0,1.0,1.0,1.0
