Correlation_BASE,Treasury_0.25Y,Treasury_0.5Y,Treasury_1.0Y,Treasury_2.0Y,Treasury_3.0Y,Treasury_5.0Y,Treasury_10.0Y,Treasury_15.0Y,Treasury_20.0Y,Treasury_30.0Y,SOFR_0.25Y,SOFR_0.5Y,SOFR_1.0Y,SOFR_2.0Y,SOFR_3.0Y,SOFR_5.0Y,SOFR_10.0Y,SOFR_15.0Y,SOFR_20.0Y,SOFR_30.0Y
Treasury_0.25Y,1.0,0.9704455335485082,0.9139311852712282,0.8105842459701871,0.7189237334319262,0.5655254386995371,0.4,0.4,0.4,0.4,0.999,0.9694750880149596,0.9130172540859569,0.8097736617242169,0.7182048096984942,0.5649599132608375,0.3996,0.3996,0.3996,0.3996
Treasury_0.5Y,0.9704455335485082,1.0,0.9704455335485082,0.9139311852712282,0.8607079764250578,0.7633794943368531,0.5655254386995371,0.418951549247639,0.4,0.4,0.9694750880149596,0.999,0.9694750880149596,0.9130172540859569,0.8598472684486328,0.7626161148425163,0.5649599132608375,0.41853259769839135,0.3996,0.3996
Treasury_1.0Y,0.9139311852712282,0.9704455335485082,1.0,0.9704455335485082,0.9417645335842487,0.8869204367171575,0.7633794943368531,0.6570468198150567,0.5655254386995371,0.418951549247639,0.9130172540859569,0.9694750880149596,0.999,0.9694750880149596,0.9408227690506644,0.8860335162804404,0.7626161148425163,0.6563897729952417,0.5649599132608375,0.41853259769839135
Treasury_2.0Y,0.8105842459701871,0.9139311852712282,0.9704455335485082,1.0,0.9851119396030626,0.9559974818331,0.8869204367171575,0.8228346580560184,0.7633794943368531,0.6570468198150567,0.8097736617242169,0.9130172540859569,0.9694750880149596,0.999,0.9841268276634596,0.9550414843512669,0.8860335162804404,0.8220118233979624,0.7626161148425163,0.6563897729952417
Treasury_3.0Y,0.7189237334319262,0.8607079764250578,0.9417645335842487,0.9851119396030626,1.0,0.9801986733067553,0.9323938199059483,0.8869204367171575,0.8436648165963837,0.7633794943368533,0.7182048096984942,0.8598472684486328,0.9408227690506644,0.9841268276634596,0.999,0.9792184746334485,0.9314614260860423,0.8860335162804404,0.8428211517797873,0.7626161148425165
Treasury_5.0Y,0.5655254386995371,0.7633794943368531,0.8869204367171575,0.9559974818331,0.9801986733067553,1.0,0.9704455335485082,0.9417645335842487,0.9139311852712282,0.8607079764250578,0.5649599132608375,0.7626161148425163,0.8860335162804404,0.9550414843512669,0.9792184746334485,0.999,0.9694750880149596,0.9408227690506644,0.9130172540859569,0.8598472684486328
Treasury_10.0Y,0.4,0.5655254386995371,0.7633794943368531,0.8869204367171575,0.9323938199059483,0.9704455335485082,1.0,0.9851119396030626,0.9704455335485082,0.9417645335842487,0.3996,0.5649599132608375,0.7626161148425163,0.8860335162804404,0.9314614260860423,0.9694750880149596,0.999,0.9841268276634596,0.9694750880149596,0.9408227690506644
Treasury_15.0Y,0.4,0.418951549247639,0.6570468198150567,0.8228346580560184,0.8869204367171575,0.9417645335842487,0.9851119396030626,1.0,0.9900498337491681,0.9704455335485082,0.3996,0.41853259769839135,0.6563897729952417,0.8220118233979624,0.8860335162804404,0.9408227690506644,0.9841268276634596,0.999,0.9890597839154189,0.9694750880149596
Treasury_20.0Y,0.4,0.4,0.5655254386995371,0.7633794943368531,0.8436648165963837,0.9139311852712282,0.9704455335485082,0.9900498337491681,1.0,0.9851119396030626,0.3996,0.3996,0.5649599132608375,0.7626161148425163,0.8428211517797873,0.9130172540859569,0.9694750880149596,0.9890597839154189,0.999,0.9841268276634596
Treasury_30.0Y,0.4,0.4,0.418951549247639,0.6570468198150567,0.7633794943368533,0.8607079764250578,0.9417645335842487,0.9704455335485082,0.9851119396030626,1.0,0.3996,0.3996,0.41853259769839135,0.6563897729952417,0.7626161148425165,0.8598472684486328,0.9408227690506644,0.9694750880149596,0.9841268276634596,0.999
